name,Al,Si,Fe,Ca,Mg,Ti,K,P,Mn,Sr,Na,Rb,Zr,Zn,V,S,Ba,Cr,Y
Keramika_1,20.197,53.627,15.542,4.751,2.437,1.619,0.818,0,0.065,0.042,0,0,0.075,0,0,0.081,0.640,0.108,0
Keramika_10,21.533,41.598,11.505,17.191,2.954,0.878,3.473,0,0.191,0.060,0,0.042,0.047,0.032,0,0.129,0.368,0,0
Keramika_11,18.943,43.561,9.683,21.393,2.479,0.914,2.219,0.287,0.219,0.063,0,0.025,0.050,0.026,0,0.138,0,0,0
Keramika_12,22.108,42.508,10.939,15.630,3.111,0.781,3.933,0,0.167,0.052,0,0.042,0.044,0.074,0,0.093,0.513,0,0.005
Keramika_13,18.472,36.149,9.758,27.029,2.353,1.029,3.591,0,0.190,0.069,0,0.035,0.041,0.975,0,0.309,0,0,0
Keramika_8,21.124,43.069,11.200,14.132,4.585,1.079,4.250,0,0.180,0.056,0,0.034,0.043,0.053,0.061,0.125,0,0,0.009
Keramika_9,20.257,43.446,10.823,17.332,2.747,1.123,3.622,0,0.235,0.087,0,0.034,0.039,0.034,0,0.221,0,0,0
GA1,29.753,43.323,15.067,1.250,3.165,1.598,5.064,0,0.122,0,0.633,0,0,0,0,0,0.024,0,0
GA2,30.656,43.323,13.296,1.524,2.993,1.796,5.533,0,0.122,0,0.726,0,0,0,0,0,0.033,0,0
GA3,31.276,43.323,13.129,1.323,3.128,1.684,5.276,0,0.150,0,0.687,0,0,0,0,0,0.024,0,0
GA4,31.516,43.323,13.548,1.829,3.097,0.054,5.724,0,0.152,0,0.725,0,0,0,0,0,0.031,0,0
GA5,30.856,43.323,13.310,1.388,2.848,1.826,5.569,0,0.115,0,0.730,0,0,0,0,0,0.035,0,0
GB1,31.185,43.323,12.684,1.612,3.206,1.629,5.466,0,0.107,0,0.753,0,0,0,0,0,0.033,0,0
GB2,31.563,43.323,12.508,1.461,3.458,1.645,5.473,0,0.121,0,0.420,0,0,0,0,0,0.029,0,0
GB3,29.543,43.323,12.623,3.097,3.241,1.701,5.729,0,0.118,0,0.591,0,0,0,0,0,0.034,0,0
GB4,30.748,43.323,12.675,1.708,3.519,1.640,5.757,0,0.123,0,0.478,0,0,0,0,0,0.029,0,0
GB5,29.931,43.323,13.545,1.345,3.069,1.762,6.157,0,0.117,0,0.720,0,0,0,0,0,0.032,0,0
GC1,29.274,43.323,13.775,1.524,3.348,1.825,6.135,0,0.110,0,0.662,0,0,0,0,0,0.024,0,0
GC2,31.226,43.323,13.288,1.504,3.419,1.709,5.128,0,0.077,0,0.296,0,0,0,0,0,0.027,0,0
GC3,28.902,43.323,13.382,2.930,3.227,1.722,5.978,0,0.109,0,0.396,0,0,0,0,0,0.032,0,0
GC4,28.770,43.323,13.744,2.799,3.149,1.672,5.890,0,0.156,0,0.467,0,0,0,0,0,0.031,0,0
GD1,29.968,43.323,13.652,1.455,3.488,1.630,5.485,0,0.158,0,0.806,0,0,0,0,0,0.035,0,0
GD2,29.939,43.323,14.007,1.497,3.315,1.675,5.221,0,0.168,0,0.820,0,0,0,0,0,0.036,0,0
GD3,28.473,43.323,13.786,1.460,3.496,1.730,6.001,0,0.202,0,1.496,0,0,0,0,0,0.034,0,0
GD4,30.753,43.323,12.979,1.438,3.852,1.620,5.241,0,0.134,0,0.628,0,0,0,0,0,0.030,0,0
GD5,29.386,43.323,13.685,2.278,3.182,1.652,5.373,0,0.160,0,0.922,0,0,0,0,0,0.040,0,0
GE1,31.648,43.323,12.693,1.390,3.433,1.641,5.509,0,0.121,0,0.218,0,0,0,0,0,0.025,0,0
GE2,31.514,43.323,13.131,1.208,3.397,1.628,5.498,0,0.061,0,0.210,0,0,0,0,0,0.030,0,0
GE3,31.405,43.323,12.844,1.429,3.387,1.588,5.558,0,0.118,0,0.318,0,0,0,0,0,0.030,0,0
C01,25.845,43.323,12.563,0.269,7.718,1.418,7.628,0,0.287,0,0.915,0,0,0,0,0,0.034,0,0
CO2,26.358,43.323,13.523,0.229,6.551,1.471,7.907,0,0.275,0,0.325,0,0,0,0,0,0.038,0,0
CO3,26.511,43.323,12.874,0.236,7.045,1.471,7.917,0,0.225,0,0.363,0,0,0,0,0,0.035,0,0
C04,22.881,43.323,12.674,0.318,11.222,1.373,7.740,0,0.173,0,0.279,0,0,0,0,0,0.018,0,0
CO5,24.641,43.323,12.606,0.357,9.535,1.268,7.696,0,0.180,0,0.357,0,0,0,0,0,0.037,0,0
C06,24.516,43.323,14.080,0.382,7.805,1.484,7.647,0,0.245,0,0.495,0,0,0,0,0,0.022,0,0
C07,24.807,43.323,10.463,0.491,10.463,1.449,8.154,0,0.366,0,0.442,0,0,0,0,0,0.042,0,0
C08,23.416,43.323,11.668,0.363,11.930,1.312,7.469,0,0.166,0,0.323,0,0,0,0,0,0.030,0,0
